,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,6.085192698
Vitamin B6 metabolism,2.706359946
Nitrogen metabolism,2.028397566
Histidine metabolism,1.526717557
Aminoacyl-tRNA biosynthesis,1.52284264
Ascorbate and aldarate metabolism,1.522070015
Taurine and hypotaurine metabolism,1.522070015
"Alanine, aspartate and glutamate metabolism",1.304347826
Caffeine metabolism,1.218026797
Phenylalanine metabolism,1.218026797
Biotin metabolism,1.218026797
Glycolysis / Gluconeogenesis,0.934579439
alpha-Linolenic acid metabolism,0.934579439
Galactose metabolism,0.900900901
Arginine biosynthesis,0.869565217
Butanoate metabolism,0.81300813
Glycerolipid metabolism,0.763358779
Purine metabolism,0.74906367
"Glycine, serine and threonine metabolism",0.73800738
Starch and sucrose metabolism,0.675675676
Pantothenate and CoA biosynthesis,0.641025641
Arginine and proline metabolism,0.641025641
Fructose and mannose metabolism,0.609756098
Selenocompound metabolism,0.609756098
beta-Alanine metabolism,0.581395349
Pentose phosphate pathway,0.552486188
Lysine degradation,0.487804878
Glutathione metabolism,0.434782609
Phosphatidylinositol signaling system,0.434782609
Inositol phosphate metabolism,0.406504065
Porphyrin and chlorophyll metabolism,0.406504065
Glyoxylate and dicarboxylate metabolism,0.380228137
Cysteine and methionine metabolism,0.36900369
Glycerophospholipid metabolism,0.337837838
Pyrimidine metabolism,0.3125
Tryptophan metabolism,0.296735905
Steroid biosynthesis,0.289855072
Steroid hormone biosynthesis,0.286532951
Primary bile acid biosynthesis,0.264550265
