,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,23.06805075
Nitrogen metabolism,11.53402537
Glutathione metabolism,7.407407407
Purine metabolism,5.319148936
Arginine biosynthesis,4.95049505
Butanoate metabolism,4.608294931
Histidine metabolism,4.329004329
"Alanine, aspartate and glutamate metabolism",2.469135802
Porphyrin and chlorophyll metabolism,2.304147465
Glyoxylate and dicarboxylate metabolism,2.159827214
Cysteine and methionine metabolism,2.096436059
Arachidonic acid metabolism,1.923076923
Arginine and proline metabolism,1.821493625
Aminoacyl-tRNA biosynthesis,1.44092219
Steroid hormone biosynthesis,0.81300813
