,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,2.985074627
Pyrimidine metabolism,1.605504587
Purine metabolism,1.515151515
Nitrogen metabolism,1.492537313
Arginine biosynthesis,0.641025641
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.641025641
Glutathione metabolism,0.638977636
Butanoate metabolism,0.595238095
Histidine metabolism,0.558659218
Pentose and glucuronate interconversions,0.497512438
Glycerophospholipid metabolism,0.497512438
Arachidonic acid metabolism,0.497512438
Pantothenate and CoA biosynthesis,0.471698113
Arginine and proline metabolism,0.471698113
Ether lipid metabolism,0.448430493
Sphingolipid metabolism,0.425531915
Pentose phosphate pathway,0.406504065
"Alanine, aspartate and glutamate metabolism",0.319488818
Porphyrin and chlorophyll metabolism,0.298507463
Glyoxylate and dicarboxylate metabolism,0.280112045
"Glycine, serine and threonine metabolism",0.27100271
Cysteine and methionine metabolism,0.27100271
Biosynthesis of unsaturated fatty acids,0.248756219
Tryptophan metabolism,0.218340611
Primary bile acid biosynthesis,0.194552529
Aminoacyl-tRNA biosynthesis,0.186567164
Steroid hormone biosynthesis,0.105374078
