,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.021148036
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.021148036
"Neomycin, kanamycin and gentamicin biosynthesis",3.021148036
Phenylalanine metabolism,1.807228916
Aminoacyl-tRNA biosynthesis,1.761006289
Ascorbate and aldarate metabolism,1.515151515
Riboflavin metabolism,1.510574018
"Glycine, serine and threonine metabolism",1.282051282
"Alanine, aspartate and glutamate metabolism",1.077586207
Phosphonate and phosphinate metabolism,1.007049345
Nitrogen metabolism,1.007049345
Arginine biosynthesis,0.862068966
Butanoate metabolism,0.806451613
Nicotinate and nicotinamide metabolism,0.806451613
Arginine and proline metabolism,0.79491256
"Valine, leucine and isoleucine biosynthesis",0.757575758
Taurine and hypotaurine metabolism,0.757575758
Histidine metabolism,0.754716981
Glyoxylate and dicarboxylate metabolism,0.754716981
Ubiquinone and other terpenoid-quinone biosynthesis,0.67114094
Vitamin B6 metabolism,0.67114094
Glutathione metabolism,0.646551724
Pantothenate and CoA biosynthesis,0.634920635
Citrate cycle (TCA cycle),0.604229607
Caffeine metabolism,0.602409639
Biotin metabolism,0.602409639
beta-Alanine metabolism,0.574712644
Sphingolipid metabolism,0.574712644
Cysteine and methionine metabolism,0.549450549
Pentose phosphate pathway,0.549450549
Lysine degradation,0.483091787
alpha-Linolenic acid metabolism,0.465116279
Galactose metabolism,0.447427293
Tryptophan metabolism,0.441826215
Inositol phosphate metabolism,0.402414487
Porphyrin and chlorophyll metabolism,0.402414487
Primary bile acid biosynthesis,0.393700787
Glycerolipid metabolism,0.377358491
Purine metabolism,0.37037037
Pentose and glucuronate interconversions,0.33557047
Starch and sucrose metabolism,0.33557047
Amino sugar and nucleotide sugar metabolism,0.326264274
Pyrimidine metabolism,0.309597523
Fructose and mannose metabolism,0.302114804
Selenocompound metabolism,0.302114804
Propanoate metabolism,0.262467192
Glycolysis / Gluconeogenesis,0.23255814
Phosphatidylinositol signaling system,0.215517241
Glycerophospholipid metabolism,0.167785235
Drug metabolism - other enzymes,0.154798762
Tyrosine metabolism,0.143884892
Steroid hormone biosynthesis,0.141843972
Fatty acid biosynthesis,0.128534704
