,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.544529262
"Neomycin, kanamycin and gentamicin biosynthesis",2.544529262
D-Glutamine and D-glutamate metabolism,2.542372881
Phenylalanine metabolism,1.530612245
Aminoacyl-tRNA biosynthesis,1.378579003
Ascorbate and aldarate metabolism,1.27388535
Riboflavin metabolism,1.272264631
Sphingolipid metabolism,0.968523002
Histidine metabolism,0.955414013
Pyrimidine metabolism,0.91383812
Phosphonate and phosphinate metabolism,0.847457627
Nitrogen metabolism,0.847457627
Arginine and proline metabolism,0.803212851
Arginine biosynthesis,0.727272727
Purine metabolism,0.703125
Pentose phosphate pathway,0.694444444
Taurine and hypotaurine metabolism,0.636942675
Cysteine and methionine metabolism,0.617283951
Ubiquinone and other terpenoid-quinone biosynthesis,0.564971751
Vitamin B6 metabolism,0.564971751
Pentose and glucuronate interconversions,0.564971751
"Alanine, aspartate and glutamate metabolism",0.545454545
Glutathione metabolism,0.545454545
Pantothenate and CoA biosynthesis,0.536193029
Caffeine metabolism,0.510204082
Biotin metabolism,0.510204082
beta-Alanine metabolism,0.484261501
Glyoxylate and dicarboxylate metabolism,0.476947536
"Glycine, serine and threonine metabolism",0.462962963
Lysine degradation,0.407331976
alpha-Linolenic acid metabolism,0.392156863
Glycolysis / Gluconeogenesis,0.391389432
Galactose metabolism,0.377358491
Tryptophan metabolism,0.372670807
Inositol phosphate metabolism,0.339558574
Porphyrin and chlorophyll metabolism,0.339558574
Butanoate metabolism,0.338983051
Nicotinate and nicotinamide metabolism,0.338983051
Primary bile acid biosynthesis,0.331858407
Glycerolipid metabolism,0.318471338
Glycerophospholipid metabolism,0.282885431
Biosynthesis of unsaturated fatty acids,0.282885431
Starch and sucrose metabolism,0.282485876
Amino sugar and nucleotide sugar metabolism,0.275103164
Fructose and mannose metabolism,0.254452926
Selenocompound metabolism,0.254452926
Ether lipid metabolism,0.254452926
Phosphatidylinositol signaling system,0.181818182
Fatty acid elongation,0.130548303
Fatty acid degradation,0.130548303
Tyrosine metabolism,0.121212121
Fatty acid biosynthesis,0.108342362
Steroid hormone biosynthesis,0.05988024
