,Enrichment Ratio
Linoleic acid metabolism,1.594896332
Arachidonic acid metabolism,1.327433628
Lipoic acid metabolism,1
Purine metabolism,0.857843137
Phenylalanine metabolism,0.8
Pyrimidine metabolism,0.613496933
Cysteine and methionine metabolism,0.483091787
Retinol metabolism,0.469483568
Starch and sucrose metabolism,0.442477876
Sphingolipid metabolism,0.378787879
Galactose metabolism,0.294985251
"Glycine, serine and threonine metabolism",0.241545894
Biosynthesis of unsaturated fatty acids,0.221238938
Arginine and proline metabolism,0.209643606
Tryptophan metabolism,0.194174757
Steroid hormone biosynthesis,0.186915888
Primary bile acid biosynthesis,0.173310225
Fatty acid biosynthesis,0.169491525
Metabolism of xenobiotics by cytochrome P450,0.117233294
