,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",7.462686567
D-Glutamine and D-glutamate metabolism,4.975124378
Aminoacyl-tRNA biosynthesis,3.726708075
Phenylalanine metabolism,2.985074627
Phosphonate and phosphinate metabolism,2.487562189
Nitrogen metabolism,2.487562189
Arginine biosynthesis,2.132196162
Histidine metabolism,1.869158879
"Valine, leucine and isoleucine biosynthesis",1.865671642
Ubiquinone and other terpenoid-quinone biosynthesis,1.658374793
Vitamin B6 metabolism,1.658374793
"Alanine, aspartate and glutamate metabolism",1.595744681
Arginine and proline metabolism,1.568627451
Porphyrin and chlorophyll metabolism,1.492537313
Caffeine metabolism,1.492537313
beta-Alanine metabolism,1.418439716
Sphingolipid metabolism,1.418439716
Glyoxylate and dicarboxylate metabolism,1.401869159
"Glycine, serine and threonine metabolism",1.357466063
Tryptophan metabolism,1.090909091
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.066098081
Glutathione metabolism,1.063829787
Butanoate metabolism,0.99009901
Cysteine and methionine metabolism,0.904977376
Pantothenate and CoA biosynthesis,0.787401575
Selenocompound metabolism,0.746268657
Pentose phosphate pathway,0.680272109
Primary bile acid biosynthesis,0.649350649
Purine metabolism,0.458715596
Glycerophospholipid metabolism,0.414937759
Biosynthesis of unsaturated fatty acids,0.414937759
Fatty acid elongation,0.383141762
Fatty acid degradation,0.383141762
Pyrimidine metabolism,0.383141762
Steroid biosynthesis,0.355871886
Tyrosine metabolism,0.355871886
Steroid hormone biosynthesis,0.350877193
Fatty acid biosynthesis,0.317460317
