,Enrichment Ratio
Arachidonic acid metabolism,1.801801802
Phenylalanine metabolism,1.618122977
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.156069364
Histidine metabolism,1.012145749
Purine metabolism,0.997506234
Retinol metabolism,0.952380952
Pentose and glucuronate interconversions,0.900900901
Pantothenate and CoA biosynthesis,0.854700855
Ether lipid metabolism,0.806451613
Pentose phosphate pathway,0.735294118
Glutathione metabolism,0.578034682
Cysteine and methionine metabolism,0.490196078
Glycerophospholipid metabolism,0.45045045
Biosynthesis of unsaturated fatty acids,0.45045045
Arginine and proline metabolism,0.425531915
Pyrimidine metabolism,0.414937759
Steroid hormone biosynthesis,0.19047619
