,Enrichment Ratio
Purine metabolism,3.25732899
Taurine and hypotaurine metabolism,2.645502646
Pyrimidine metabolism,2.173913043
Primary bile acid biosynthesis,0.917431193
Steroid hormone biosynthesis,0.497512438
