,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.75862069
D-Glutamine and D-glutamate metabolism,2.752293578
Phenylalanine metabolism,2.209944751
Aminoacyl-tRNA biosynthesis,1.609195402
Ascorbate and aldarate metabolism,1.379310345
Vitamin B6 metabolism,1.226993865
Nitrogen metabolism,0.917431193
"Glycine, serine and threonine metabolism",0.836120401
Arginine biosynthesis,0.787401575
Sphingolipid metabolism,0.787401575
Glutathione metabolism,0.787401575
Arginine and proline metabolism,0.725689405
"Valine, leucine and isoleucine biosynthesis",0.689655172
Taurine and hypotaurine metabolism,0.689655172
Histidine metabolism,0.689655172
Ubiquinone and other terpenoid-quinone biosynthesis,0.613496933
"Alanine, aspartate and glutamate metabolism",0.590551181
Pantothenate and CoA biosynthesis,0.579710145
Caffeine metabolism,0.552486188
Biotin metabolism,0.552486188
beta-Alanine metabolism,0.524934383
Glyoxylate and dicarboxylate metabolism,0.517241379
alpha-Linolenic acid metabolism,0.423728814
Purine metabolism,0.423728814
Tryptophan metabolism,0.403768506
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.393700787
Butanoate metabolism,0.367647059
Nicotinate and nicotinamide metabolism,0.367647059
Porphyrin and chlorophyll metabolism,0.367647059
Primary bile acid biosynthesis,0.35971223
Glycerolipid metabolism,0.344827586
Cysteine and methionine metabolism,0.334448161
Pentose and glucuronate interconversions,0.306748466
Glycerophospholipid metabolism,0.306278714
Pyrimidine metabolism,0.282885431
Fructose and mannose metabolism,0.275482094
Selenocompound metabolism,0.275482094
Ether lipid metabolism,0.275482094
Pentose phosphate pathway,0.250626566
Lysine degradation,0.220750552
Galactose metabolism,0.204081633
Phosphatidylinositol signaling system,0.196850394
Inositol phosphate metabolism,0.183823529
Biosynthesis of unsaturated fatty acids,0.153139357
Amino sugar and nucleotide sugar metabolism,0.149031297
Drug metabolism - other enzymes,0.141442716
N-Glycan biosynthesis,0.134589502
Tyrosine metabolism,0.131233596
Steroid hormone biosynthesis,0.12987013
Fatty acid biosynthesis,0.117370892
