,Enrichment Ratio
Ascorbate and aldarate metabolism,2.044989775
Taurine and hypotaurine metabolism,2.044989775
Phenylalanine metabolism,1.636661211
alpha-Linolenic acid metabolism,1.259445844
Glycerolipid metabolism,1.022494888
Pantothenate and CoA biosynthesis,0.862068966
Fructose and mannose metabolism,0.819672131
Primary bile acid biosynthesis,0.711743772
Galactose metabolism,0.606060606
"Alanine, aspartate and glutamate metabolism",0.584795322
Phosphatidylinositol signaling system,0.584795322
Inositol phosphate metabolism,0.546448087
Steroid hormone biosynthesis,0.385356455
Aminoacyl-tRNA biosynthesis,0.341296928
Purine metabolism,0.251889169
