,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,6.451612903
Vitamin B6 metabolism,2.865329513
Nitrogen metabolism,2.150537634
Histidine metabolism,1.612903226
Ascorbate and aldarate metabolism,1.612903226
Taurine and hypotaurine metabolism,1.612903226
Aminoacyl-tRNA biosynthesis,1.612903226
"Alanine, aspartate and glutamate metabolism",1.382488479
Caffeine metabolism,1.290322581
Phenylalanine metabolism,1.290322581
Biotin metabolism,1.290322581
Glycolysis / Gluconeogenesis,0.99009901
alpha-Linolenic acid metabolism,0.99009901
Galactose metabolism,0.956937799
Arginine biosynthesis,0.917431193
Butanoate metabolism,0.862068966
Glycerolipid metabolism,0.806451613
Purine metabolism,0.793650794
"Glycine, serine and threonine metabolism",0.78125
Starch and sucrose metabolism,0.714285714
Pantothenate and CoA biosynthesis,0.680272109
Arginine and proline metabolism,0.677966102
Fructose and mannose metabolism,0.64516129
Selenocompound metabolism,0.64516129
beta-Alanine metabolism,0.613496933
Pentose phosphate pathway,0.584795322
Lysine degradation,0.515463918
Glutathione metabolism,0.460829493
Phosphatidylinositol signaling system,0.460829493
Inositol phosphate metabolism,0.429184549
Porphyrin and chlorophyll metabolism,0.429184549
Glyoxylate and dicarboxylate metabolism,0.403225806
Cysteine and methionine metabolism,0.390625
Glycerophospholipid metabolism,0.358422939
Pyrimidine metabolism,0.331125828
Tryptophan metabolism,0.314465409
Steroid hormone biosynthesis,0.303490137
Primary bile acid biosynthesis,0.280112045
