,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,4.739336493
Purine metabolism,2.407002188
Nitrogen metabolism,2.369668246
Pyrimidine metabolism,1.824817518
Arginine biosynthesis,1.016260163
Glutathione metabolism,1.015228426
Butanoate metabolism,0.952380952
Histidine metabolism,0.892857143
Arginine and proline metabolism,0.74906367
Pantothenate and CoA biosynthesis,0.746268657
Sphingolipid metabolism,0.675675676
"Alanine, aspartate and glutamate metabolism",0.507614213
Porphyrin and chlorophyll metabolism,0.473933649
Glyoxylate and dicarboxylate metabolism,0.444444444
"Glycine, serine and threonine metabolism",0.431034483
Steroid biosynthesis,0.338983051
Tyrosine metabolism,0.338983051
Steroid hormone biosynthesis,0.334448161
Primary bile acid biosynthesis,0.309597523
Aminoacyl-tRNA biosynthesis,0.296735905
