,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",5.012531328
Phenylalanine metabolism,3.003003003
Aminoacyl-tRNA biosynthesis,2.713987474
Vitamin B6 metabolism,2.224694105
Phosphonate and phosphinate metabolism,1.669449082
Ascorbate and aldarate metabolism,1.251564456
"Valine, leucine and isoleucine biosynthesis",1.251564456
Histidine metabolism,1.25
"Glycine, serine and threonine metabolism",1.212121212
Ubiquinone and other terpenoid-quinone biosynthesis,1.112347052
Arginine and proline metabolism,1.052631579
Pantothenate and CoA biosynthesis,1.052631579
Pyrimidine metabolism,1.028277635
Caffeine metabolism,1.001001001
Biotin metabolism,1.001001001
beta-Alanine metabolism,0.952380952
Sphingolipid metabolism,0.952380952
Cysteine and methionine metabolism,0.909090909
Tryptophan metabolism,0.733496333
Arginine biosynthesis,0.714285714
"Alanine, aspartate and glutamate metabolism",0.714285714
Glutathione metabolism,0.714285714
Nicotinate and nicotinamide metabolism,0.666666667
Glyoxylate and dicarboxylate metabolism,0.625
Pentose and glucuronate interconversions,0.555555556
Arachidonic acid metabolism,0.555555556
Selenocompound metabolism,0.5
Purine metabolism,0.462249615
Lysine degradation,0.4
Porphyrin and chlorophyll metabolism,0.333333333
Glycerophospholipid metabolism,0.277777778
Biosynthesis of unsaturated fatty acids,0.277777778
Amino sugar and nucleotide sugar metabolism,0.27027027
Fatty acid elongation,0.257069409
Fatty acid degradation,0.257069409
Tyrosine metabolism,0.238663484
Primary bile acid biosynthesis,0.217864924
Fatty acid biosynthesis,0.213219616
Steroid hormone biosynthesis,0.11778563
