,Enrichment Ratio
Riboflavin metabolism,2.004008016
Linoleic acid metabolism,1.602564103
Purine metabolism,1.479654747
Pyrimidine metabolism,1.437371663
Arachidonic acid metabolism,1.336302895
Sphingolipid metabolism,0.763358779
Cysteine and methionine metabolism,0.485436893
Retinol metabolism,0.471698113
Biosynthesis of unsaturated fatty acids,0.445434298
Glutathione metabolism,0.285714286
Phosphatidylinositol signaling system,0.285714286
Inositol phosphate metabolism,0.266666667
Porphyrin and chlorophyll metabolism,0.266666667
Glyoxylate and dicarboxylate metabolism,0.250626566
"Glycine, serine and threonine metabolism",0.242718447
Glycerophospholipid metabolism,0.222717149
Arginine and proline metabolism,0.210970464
Fatty acid elongation,0.205338809
Fatty acid degradation,0.205338809
Primary bile acid biosynthesis,0.174216028
Fatty acid biosynthesis,0.170357751
Steroid hormone biosynthesis,0.094339623
