,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2
"Neomycin, kanamycin and gentamicin biosynthesis",1.992031873
Phenylalanine metabolism,1.593625498
Riboflavin metabolism,1
Linoleic acid metabolism,0.8
Purine metabolism,0.797546012
Arachidonic acid metabolism,0.774336283
Sphingolipid metabolism,0.759013283
Aminoacyl-tRNA biosynthesis,0.75
Arginine and proline metabolism,0.524109015
Pyrimidine metabolism,0.51072523
Ascorbate and aldarate metabolism,0.497512438
Taurine and hypotaurine metabolism,0.497512438
Lipoic acid metabolism,0.497512438
Histidine metabolism,0.497512438
"Glycine, serine and threonine metabolism",0.483091787
Cysteine and methionine metabolism,0.483091787
Ubiquinone and other terpenoid-quinone biosynthesis,0.442477876
Vitamin B6 metabolism,0.442477876
Pentose and glucuronate interconversions,0.442477876
Pantothenate and CoA biosynthesis,0.419287212
Caffeine metabolism,0.398406375
beta-Alanine metabolism,0.379506641
Pentose phosphate pathway,0.362318841
Biosynthesis of unsaturated fatty acids,0.331858407
Tryptophan metabolism,0.291262136
Arginine biosynthesis,0.284900285
Glutathione metabolism,0.284495021
Nicotinate and nicotinamide metabolism,0.265957447
Primary bile acid biosynthesis,0.260869565
Glyoxylate and dicarboxylate metabolism,0.249066002
Retinol metabolism,0.234192037
Starch and sucrose metabolism,0.221238938
Glycerophospholipid metabolism,0.221238938
Amino sugar and nucleotide sugar metabolism,0.215285253
Selenocompound metabolism,0.199203187
Ether lipid metabolism,0.199203187
Tyrosine metabolism,0.19047619
Steroid hormone biosynthesis,0.187793427
Fatty acid biosynthesis,0.169491525
Glycolysis / Gluconeogenesis,0.153139357
Galactose metabolism,0.147492625
"Alanine, aspartate and glutamate metabolism",0.142247511
Inositol phosphate metabolism,0.132802125
Porphyrin and chlorophyll metabolism,0.132802125
Fatty acid elongation,0.102145046
Fatty acid degradation,0.102145046
Drug metabolism - other enzymes,0.102145046
Steroid biosynthesis,0.095238095
Metabolism of xenobiotics by cytochrome P450,0.058479532
