,Enrichment Ratio
Linoleic acid metabolism,2.538071066
Phosphonate and phosphinate metabolism,2.114164905
"Valine, leucine and isoleucine biosynthesis",1.584786054
Arachidonic acid metabolism,1.056338028
Glycerolipid metabolism,0.793650794
Retinol metabolism,0.746268657
Pantothenate and CoA biosynthesis,0.666666667
Citrate cycle (TCA cycle),0.632911392
Fructose and mannose metabolism,0.632911392
Steroid biosynthesis,0.604229607
beta-Alanine metabolism,0.602409639
Sphingolipid metabolism,0.602409639
Pentose phosphate pathway,0.578034682
Glycolysis / Gluconeogenesis,0.487804878
"Alanine, aspartate and glutamate metabolism",0.452488688
Glyoxylate and dicarboxylate metabolism,0.396825397
Purine metabolism,0.390625
Glycerophospholipid metabolism,0.352112676
Biosynthesis of unsaturated fatty acids,0.352112676
Pyrimidine metabolism,0.325732899
"Valine, leucine and isoleucine degradation",0.317460317
