,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",16.55629139
"Valine, leucine and isoleucine biosynthesis",8.26446281
Ubiquinone and other terpenoid-quinone biosynthesis,7.352941176
Phenylalanine metabolism,6.622516556
Aminoacyl-tRNA biosynthesis,4.137931034
Retinol metabolism,3.891050584
"Glycine, serine and threonine metabolism",2.004008016
Arachidonic acid metabolism,1.838235294
Arginine and proline metabolism,1.742160279
Pyrimidine metabolism,1.697792869
Tyrosine metabolism,1.57480315
Purine metabolism,1.018329939
