,Enrichment Ratio
Pyrimidine metabolism,2.81124498
Purine metabolism,2.415458937
Taurine and hypotaurine metabolism,1.960784314
Biosynthesis of unsaturated fatty acids,0.873362445
Pantothenate and CoA biosynthesis,0.826446281
Sphingolipid metabolism,0.746268657
Primary bile acid biosynthesis,0.682593857
Glutathione metabolism,0.561797753
Cysteine and methionine metabolism,0.476190476
Fatty acid elongation,0.401606426
Fatty acid degradation,0.401606426
Steroid biosynthesis,0.373134328
Fatty acid biosynthesis,0.333333333
