,Enrichment Ratio
Linoleic acid metabolism,2.114164905
Purine metabolism,1.788617886
Arachidonic acid metabolism,1.46627566
Pyrimidine metabolism,1.35501355
Retinol metabolism,0.621118012
Sphingolipid metabolism,0.502512563
Glycerophospholipid metabolism,0.293255132
Biosynthesis of unsaturated fatty acids,0.293255132
Primary bile acid biosynthesis,0.229885057
Fatty acid biosynthesis,0.224719101
Steroid hormone biosynthesis,0.124378109
