,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.184100418
D-Glutamine and D-glutamate metabolism,2.789400279
Phenylalanine metabolism,2.5
Aminoacyl-tRNA biosynthesis,2.43902439
Vitamin B6 metabolism,1.851851852
Nitrogen metabolism,1.394700139
"Glycine, serine and threonine metabolism",1.265822785
Arginine biosynthesis,1.19760479
Arginine and proline metabolism,1.101321586
Histidine metabolism,1.047120419
Ascorbate and aldarate metabolism,1.044932079
"Valine, leucine and isoleucine biosynthesis",1.044932079
Ubiquinone and other terpenoid-quinone biosynthesis,0.925925926
"Alanine, aspartate and glutamate metabolism",0.895522388
Pantothenate and CoA biosynthesis,0.881057269
Caffeine metabolism,0.833333333
Biotin metabolism,0.833333333
beta-Alanine metabolism,0.796812749
Sphingolipid metabolism,0.796812749
Glyoxylate and dicarboxylate metabolism,0.783289817
alpha-Linolenic acid metabolism,0.64516129
Tryptophan metabolism,0.612244898
Glutathione metabolism,0.597014925
Butanoate metabolism,0.558659218
Porphyrin and chlorophyll metabolism,0.557103064
Glycerolipid metabolism,0.523560209
Cysteine and methionine metabolism,0.506329114
Glycerophospholipid metabolism,0.465116279
Fructose and mannose metabolism,0.418410042
Selenocompound metabolism,0.418410042
Ether lipid metabolism,0.418410042
Pentose phosphate pathway,0.380228137
Primary bile acid biosynthesis,0.363636364
Lysine degradation,0.334448161
Galactose metabolism,0.309597523
Phosphatidylinositol signaling system,0.298507463
Inositol phosphate metabolism,0.278551532
Purine metabolism,0.257400257
Biosynthesis of unsaturated fatty acids,0.23255814
Pyrimidine metabolism,0.214592275
N-Glycan biosynthesis,0.204081633
Tyrosine metabolism,0.199203187
Steroid hormone biosynthesis,0.098039216
