,Enrichment Ratio
Arachidonic acid metabolism,1.554404145
Ascorbate and aldarate metabolism,1.166861144
Taurine and hypotaurine metabolism,1.166861144
Pentose and glucuronate interconversions,1.03626943
Purine metabolism,1.005747126
Glutathione metabolism,1
Phenylalanine metabolism,0.934579439
Sphingolipid metabolism,0.888888889
Pyrimidine metabolism,0.717703349
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.666666667
Nicotinate and nicotinamide metabolism,0.621118012
Histidine metabolism,0.584795322
Retinol metabolism,0.549450549
Pantothenate and CoA biosynthesis,0.492610837
Ether lipid metabolism,0.46728972
Pentose phosphate pathway,0.423728814
Primary bile acid biosynthesis,0.405679513
Cysteine and methionine metabolism,0.283286119
Glycerophospholipid metabolism,0.259067358
Biosynthesis of unsaturated fatty acids,0.259067358
Amino sugar and nucleotide sugar metabolism,0.252525253
Arginine and proline metabolism,0.245700246
Fatty acid biosynthesis,0.198807157
Steroid hormone biosynthesis,0.10989011
