,Enrichment Ratio
Ascorbate and aldarate metabolism,3.333333333
Pantothenate and CoA biosynthesis,1.404494382
beta-Alanine metabolism,1.272264631
Sphingolipid metabolism,1.272264631
Pentose phosphate pathway,1.213592233
Glycolysis / Gluconeogenesis,1.026694045
Galactose metabolism,0.99009901
Phosphatidylinositol signaling system,0.952380952
Inositol phosphate metabolism,0.892857143
"Glycine, serine and threonine metabolism",0.806451613
Cysteine and methionine metabolism,0.806451613
Pyrimidine metabolism,0.684931507
Steroid biosynthesis,0.636942675
