,Enrichment Ratio
Linoleic acid metabolism,2.493765586
Arachidonic acid metabolism,1.730103806
Phenylalanine metabolism,1.246882793
Purine metabolism,0.767754319
Retinol metabolism,0.735294118
Starch and sucrose metabolism,0.694444444
Galactose metabolism,0.462962963
"Glycine, serine and threonine metabolism",0.377358491
Cysteine and methionine metabolism,0.377358491
Biosynthesis of unsaturated fatty acids,0.346020761
Tryptophan metabolism,0.303951368
Primary bile acid biosynthesis,0.27100271
Metabolism of xenobiotics by cytochrome P450,0.183486239
Steroid hormone biosynthesis,0.146842878
