,Enrichment Ratio
Phenylalanine metabolism,4.761904762
Starch and sucrose metabolism,2.645502646
Pantothenate and CoA biosynthesis,2.506265664
beta-Alanine metabolism,2.262443439
Galactose metabolism,1.76056338
Purine metabolism,1.459854015
Arachidonic acid metabolism,1.321003963
Pyrimidine metabolism,1.219512195
