,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,2.857142857
"Valine, leucine and isoleucine biosynthesis",1.428571429
"Phenylalanine, tyrosine and tryptophan biosynthesis",1.424501425
Riboflavin metabolism,1.424501425
Aminoacyl-tRNA biosynthesis,1.306413302
Vitamin B6 metabolism,1.265822785
Phenylalanine metabolism,1.142857143
Nitrogen metabolism,0.952380952
Sphingolipid metabolism,0.815217391
"Alanine, aspartate and glutamate metabolism",0.814663951
Arginine biosynthesis,0.81300813
Arginine and proline metabolism,0.749625187
Ascorbate and aldarate metabolism,0.714285714
Taurine and hypotaurine metabolism,0.714285714
Histidine metabolism,0.711743772
"Glycine, serine and threonine metabolism",0.690846287
Glycolysis / Gluconeogenesis,0.657894737
Caffeine metabolism,0.571428571
Biotin metabolism,0.571428571
Glyoxylate and dicarboxylate metabolism,0.534759358
Pyruvate metabolism,0.518134715
alpha-Linolenic acid metabolism,0.438596491
Pyrimidine metabolism,0.438596491
Purine metabolism,0.438596491
Galactose metabolism,0.421940928
Butanoate metabolism,0.380228137
Glycerolipid metabolism,0.355871886
Cysteine and methionine metabolism,0.345423143
Starch and sucrose metabolism,0.316455696
Pantothenate and CoA biosynthesis,0.3003003
Citrate cycle (TCA cycle),0.284900285
Fructose and mannose metabolism,0.284900285
Selenocompound metabolism,0.284900285
beta-Alanine metabolism,0.27173913
Steroid biosynthesis,0.271370421
Pentose phosphate pathway,0.259067358
Lysine degradation,0.227790433
Glutathione metabolism,0.203665988
Phosphatidylinositol signaling system,0.203665988
Steroid hormone biosynthesis,0.201342282
Inositol phosphate metabolism,0.190114068
Porphyrin and chlorophyll metabolism,0.190114068
Glycerophospholipid metabolism,0.158227848
Arachidonic acid metabolism,0.158227848
Biosynthesis of unsaturated fatty acids,0.158227848
Drug metabolism - other enzymes,0.14619883
"Valine, leucine and isoleucine degradation",0.142450142
Tryptophan metabolism,0.139082058
Primary bile acid biosynthesis,0.123915737
Fatty acid biosynthesis,0.121212121
