,Enrichment Ratio
Ascorbate and aldarate metabolism,3.333333333
"Valine, leucine and isoleucine biosynthesis",3.333333333
Taurine and hypotaurine metabolism,3.333333333
Vitamin B6 metabolism,2.96735905
Phenylalanine metabolism,2.666666667
Biotin metabolism,2.666666667
alpha-Linolenic acid metabolism,2.05338809
Glycerolipid metabolism,1.669449082
Aminoacyl-tRNA biosynthesis,1.666666667
Pantothenate and CoA biosynthesis,1.404494382
Fructose and mannose metabolism,1.335113485
Pentose phosphate pathway,1.213592233
Lysine degradation,1.068376068
Galactose metabolism,0.99009901
"Alanine, aspartate and glutamate metabolism",0.952380952
Phosphatidylinositol signaling system,0.952380952
Inositol phosphate metabolism,0.892857143
"Glycine, serine and threonine metabolism",0.806451613
Arginine and proline metabolism,0.704225352
Primary bile acid biosynthesis,0.581395349
Purine metabolism,0.411522634
