,Enrichment Ratio
Ascorbate and aldarate metabolism,1.522070015
Phenylalanine metabolism,1.218026797
Histidine metabolism,0.763358779
"Glycine, serine and threonine metabolism",0.73800738
Cysteine and methionine metabolism,0.73800738
Pantothenate and CoA biosynthesis,0.641025641
beta-Alanine metabolism,0.581395349
Sphingolipid metabolism,0.581395349
Pentose phosphate pathway,0.552486188
Glycolysis / Gluconeogenesis,0.46728972
Galactose metabolism,0.45045045
Phosphatidylinositol signaling system,0.434782609
Inositol phosphate metabolism,0.406504065
Porphyrin and chlorophyll metabolism,0.406504065
Arginine and proline metabolism,0.320512821
Pyrimidine metabolism,0.3125
Tryptophan metabolism,0.296735905
Steroid biosynthesis,0.289855072
Purine metabolism,0.187265918
