,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,8.849557522
Nitrogen metabolism,2.949852507
Ascorbate and aldarate metabolism,2.212389381
"Valine, leucine and isoleucine biosynthesis",2.212389381
Taurine and hypotaurine metabolism,2.212389381
Phenylalanine metabolism,1.769911504
Biotin metabolism,1.769911504
Aminoacyl-tRNA biosynthesis,1.47601476
alpha-Linolenic acid metabolism,1.360544218
"Alanine, aspartate and glutamate metabolism",1.265822785
Arginine biosynthesis,1.264222503
Butanoate metabolism,1.179245283
Histidine metabolism,1.10619469
Glycerolipid metabolism,1.10619469
"Glycine, serine and threonine metabolism",1.075268817
Cysteine and methionine metabolism,1.075268817
Arginine and proline metabolism,0.930232558
Fructose and mannose metabolism,0.884955752
Sphingolipid metabolism,0.840336134
Pentose phosphate pathway,0.806451613
Lysine degradation,0.709219858
Glycolysis / Gluconeogenesis,0.680272109
Galactose metabolism,0.653594771
Glutathione metabolism,0.632911392
Phosphatidylinositol signaling system,0.632911392
Inositol phosphate metabolism,0.588235294
Porphyrin and chlorophyll metabolism,0.588235294
Glyoxylate and dicarboxylate metabolism,0.552486188
Glycerophospholipid metabolism,0.492610837
Pyrimidine metabolism,0.454545455
Primary bile acid biosynthesis,0.384615385
Purine metabolism,0.272479564
