,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,6.51465798
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.87804878
Nitrogen metabolism,3.25732899
Arginine biosynthesis,2.789400279
Aminoacyl-tRNA biosynthesis,2.43902439
Histidine metabolism,2.43902439
"Valine, leucine and isoleucine biosynthesis",2.43902439
Taurine and hypotaurine metabolism,2.43902439
Ubiquinone and other terpenoid-quinone biosynthesis,2.169197397
Arginine and proline metabolism,2.051282051
Phenylalanine metabolism,1.953125
Pyrimidine metabolism,1.5
Butanoate metabolism,1.300390117
Nicotinate and nicotinamide metabolism,1.300390117
Glycerolipid metabolism,1.219512195
Retinol metabolism,1.148105626
Pentose and glucuronate interconversions,1.084598698
Fructose and mannose metabolism,0.980392157
Tyrosine metabolism,0.930232558
beta-Alanine metabolism,0.925925926
Pentose phosphate pathway,0.884955752
"Alanine, aspartate and glutamate metabolism",0.699300699
Glutathione metabolism,0.699300699
Porphyrin and chlorophyll metabolism,0.649350649
Glyoxylate and dicarboxylate metabolism,0.609756098
Purine metabolism,0.600600601
"Glycine, serine and threonine metabolism",0.591715976
Arachidonic acid metabolism,0.543478261
Biosynthesis of unsaturated fatty acids,0.543478261
Primary bile acid biosynthesis,0.423728814
Steroid hormone biosynthesis,0.229357798
