,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",7.117437722
Aminoacyl-tRNA biosynthesis,3.857566766
Vitamin B6 metabolism,3.159557662
Phenylalanine metabolism,2.844950213
Phosphonate and phosphinate metabolism,2.369668246
Histidine metabolism,1.785714286
"Valine, leucine and isoleucine biosynthesis",1.779359431
"Glycine, serine and threonine metabolism",1.724137931
Ubiquinone and other terpenoid-quinone biosynthesis,1.579778831
Arginine and proline metabolism,1.498127341
Pantothenate and CoA biosynthesis,1.492537313
Caffeine metabolism,1.422475107
Biotin metabolism,1.422475107
beta-Alanine metabolism,1.351351351
Tryptophan metabolism,1.041666667
Arginine biosynthesis,1.016260163
"Alanine, aspartate and glutamate metabolism",1.015228426
Nicotinate and nicotinamide metabolism,0.952380952
Glyoxylate and dicarboxylate metabolism,0.888888889
Cysteine and methionine metabolism,0.862068966
Pyrimidine metabolism,0.729927007
Selenocompound metabolism,0.709219858
Sphingolipid metabolism,0.675675676
Lysine degradation,0.568181818
Glutathione metabolism,0.507614213
Porphyrin and chlorophyll metabolism,0.473933649
Purine metabolism,0.437636761
Glycerophospholipid metabolism,0.395256917
Tyrosine metabolism,0.338983051
Primary bile acid biosynthesis,0.309597523
Steroid hormone biosynthesis,0.16722408
