,Enrichment Ratio
Pantothenate and CoA biosynthesis,2.002002002
alpha-Linolenic acid metabolism,1.464128843
Purine metabolism,1.461988304
Sphingolipid metabolism,0.909090909
Glutathione metabolism,0.680272109
Cysteine and methionine metabolism,0.578034682
Biosynthesis of unsaturated fatty acids,0.529100529
Fatty acid elongation,0.487804878
Fatty acid degradation,0.487804878
Pyrimidine metabolism,0.487804878
Tyrosine metabolism,0.452488688
Steroid hormone biosynthesis,0.447427293
Fatty acid biosynthesis,0.4048583
