,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,8.583690987
Phosphonate and phosphinate metabolism,4.291845494
Nitrogen metabolism,4.291845494
Taurine and hypotaurine metabolism,3.225806452
Purine metabolism,2.777777778
Glutathione metabolism,2.752293578
Arginine biosynthesis,1.841620626
Butanoate metabolism,1.721170396
Histidine metabolism,1.612903226
Glycerophospholipid metabolism,1.428571429
Pantothenate and CoA biosynthesis,1.356852103
Ether lipid metabolism,1.290322581
Lysine degradation,1.031991744
"Alanine, aspartate and glutamate metabolism",0.917431193
Porphyrin and chlorophyll metabolism,0.862068966
Glyoxylate and dicarboxylate metabolism,0.806451613
Cysteine and methionine metabolism,0.78125
Arachidonic acid metabolism,0.714285714
Arginine and proline metabolism,0.680272109
Primary bile acid biosynthesis,0.561797753
Aminoacyl-tRNA biosynthesis,0.537634409
Steroid hormone biosynthesis,0.303030303
