,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,4.158004158
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.115264798
Nitrogen metabolism,2.079002079
Aminoacyl-tRNA biosynthesis,2.077922078
Histidine metabolism,1.5625
Ascorbate and aldarate metabolism,1.560062402
"Valine, leucine and isoleucine biosynthesis",1.560062402
Taurine and hypotaurine metabolism,1.560062402
Ubiquinone and other terpenoid-quinone biosynthesis,1.386962552
Vitamin B6 metabolism,1.386962552
Caffeine metabolism,1.246882793
Phenylalanine metabolism,1.246882793
Biotin metabolism,1.246882793
beta-Alanine metabolism,1.19047619
"Glycine, serine and threonine metabolism",1.132075472
alpha-Linolenic acid metabolism,0.961538462
"Alanine, aspartate and glutamate metabolism",0.892857143
Arginine biosynthesis,0.892857143
Butanoate metabolism,0.833333333
Glyoxylate and dicarboxylate metabolism,0.778210117
Glycerophospholipid metabolism,0.692041522
Pantothenate and CoA biosynthesis,0.657894737
Ether lipid metabolism,0.625
Tryptophan metabolism,0.607902736
Sphingolipid metabolism,0.595238095
Pentose phosphate pathway,0.568181818
Primary bile acid biosynthesis,0.54200542
Lysine degradation,0.5
Galactose metabolism,0.462962963
Glutathione metabolism,0.446428571
Phosphatidylinositol signaling system,0.446428571
Inositol phosphate metabolism,0.416666667
Porphyrin and chlorophyll metabolism,0.416666667
Cysteine and methionine metabolism,0.377358491
Biosynthesis of unsaturated fatty acids,0.346020761
Arginine and proline metabolism,0.327868852
Pyrimidine metabolism,0.319488818
N-Glycan biosynthesis,0.303951368
Tyrosine metabolism,0.296735905
Purine metabolism,0.19193858
Steroid hormone biosynthesis,0.146842878
