,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.105590062
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.105590062
"Neomycin, kanamycin and gentamicin biosynthesis",3.105590062
Phenylalanine metabolism,1.863354037
Aminoacyl-tRNA biosynthesis,1.811125485
Vitamin B6 metabolism,1.379310345
Phosphonate and phosphinate metabolism,1.035196687
Nitrogen metabolism,1.035196687
Pantothenate and CoA biosynthesis,0.980392157
Pyrimidine metabolism,0.955414013
"Glycine, serine and threonine metabolism",0.941619586
Arginine biosynthesis,0.888888889
Purine metabolism,0.857142857
Pentose phosphate pathway,0.847457627
Nicotinate and nicotinamide metabolism,0.829875519
Arginine and proline metabolism,0.816993464
Ascorbate and aldarate metabolism,0.775193798
"Valine, leucine and isoleucine biosynthesis",0.775193798
Taurine and hypotaurine metabolism,0.775193798
Histidine metabolism,0.775193798
Ubiquinone and other terpenoid-quinone biosynthesis,0.689655172
Pentose and glucuronate interconversions,0.689655172
"Alanine, aspartate and glutamate metabolism",0.66518847
Caffeine metabolism,0.621118012
Biotin metabolism,0.621118012
Porphyrin and chlorophyll metabolism,0.621118012
beta-Alanine metabolism,0.591715976
Sphingolipid metabolism,0.591715976
Glyoxylate and dicarboxylate metabolism,0.582524272
Cysteine and methionine metabolism,0.564971751
Glycolysis / Gluconeogenesis,0.477326969
Tryptophan metabolism,0.454545455
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.444444444
Glutathione metabolism,0.44345898
Butanoate metabolism,0.414937759
Primary bile acid biosynthesis,0.405405405
Glycerolipid metabolism,0.387596899
Starch and sucrose metabolism,0.344827586
Glycerophospholipid metabolism,0.344827586
Biosynthesis of unsaturated fatty acids,0.344827586
Amino sugar and nucleotide sugar metabolism,0.33557047
Fructose and mannose metabolism,0.310559006
Selenocompound metabolism,0.310559006
Ether lipid metabolism,0.310559006
Steroid biosynthesis,0.295857988
Tyrosine metabolism,0.295857988
Lysine degradation,0.248756219
Galactose metabolism,0.229885057
Inositol phosphate metabolism,0.207039337
Fatty acid elongation,0.159235669
Fatty acid degradation,0.159235669
Steroid hormone biosynthesis,0.145985401
Fatty acid biosynthesis,0.132100396
