,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,10.15228426
"Phenylalanine, tyrosine and tryptophan biosynthesis",7.633587786
Nitrogen metabolism,5.076142132
Histidine metabolism,3.802281369
"Valine, leucine and isoleucine biosynthesis",3.802281369
Aminoacyl-tRNA biosynthesis,3.797468354
Ubiquinone and other terpenoid-quinone biosynthesis,3.378378378
Phenylalanine metabolism,3.039513678
Glutathione metabolism,2.173913043
Arginine biosynthesis,2.173913043
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,2.173913043
Porphyrin and chlorophyll metabolism,2.028397566
Butanoate metabolism,2.028397566
Nicotinate and nicotinamide metabolism,2.028397566
Glyoxylate and dicarboxylate metabolism,1.904761905
Glycerolipid metabolism,1.901140684
"Glycine, serine and threonine metabolism",1.851851852
Retinol metabolism,1.792114695
Pentose and glucuronate interconversions,1.692047377
Arginine and proline metabolism,1.6
Pyrimidine metabolism,1.5625
Fructose and mannose metabolism,1.522070015
beta-Alanine metabolism,1.449275362
Pentose phosphate pathway,1.383125864
"Alanine, aspartate and glutamate metabolism",1.086956522
Purine metabolism,0.934579439
Arachidonic acid metabolism,0.847457627
Tyrosine metabolism,0.724637681
Primary bile acid biosynthesis,0.662251656
