,Enrichment Ratio
Linoleic acid metabolism,1.290322581
Arachidonic acid metabolism,1.254480287
Purine metabolism,1.188118812
Pyrimidine metabolism,1.157024793
Histidine metabolism,0.403225806
Glycerolipid metabolism,0.403225806
Cysteine and methionine metabolism,0.390625
Retinol metabolism,0.378787879
Fructose and mannose metabolism,0.322580645
Sphingolipid metabolism,0.306748466
Fatty acid biosynthesis,0.274348422
Glycerophospholipid metabolism,0.17921147
Biosynthesis of unsaturated fatty acids,0.17921147
Arginine and proline metabolism,0.169779287
Steroid hormone biosynthesis,0.151515152
Primary bile acid biosynthesis,0.140252454
