,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,4.219409283
Ascorbate and aldarate metabolism,3.174603175
"Valine, leucine and isoleucine biosynthesis",3.174603175
Taurine and hypotaurine metabolism,3.174603175
Phenylalanine metabolism,2.538071066
Biotin metabolism,2.538071066
alpha-Linolenic acid metabolism,1.953125
Aminoacyl-tRNA biosynthesis,1.587301587
Glycerolipid metabolism,1.584786054
Fructose and mannose metabolism,1.269035533
Pentose phosphate pathway,1.153402537
Lysine degradation,1.014198783
Galactose metabolism,0.943396226
"Alanine, aspartate and glutamate metabolism",0.909090909
Phosphatidylinositol signaling system,0.909090909
Inositol phosphate metabolism,0.847457627
"Glycine, serine and threonine metabolism",0.769230769
Arginine and proline metabolism,0.666666667
Pyrimidine metabolism,0.649350649
Primary bile acid biosynthesis,0.552486188
Purine metabolism,0.390625
