,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.003003003
Purine metabolism,1.523545706
Nitrogen metabolism,1.501501502
Pyrimidine metabolism,1.385681293
Taurine and hypotaurine metabolism,1.126126126
Histidine metabolism,1.123595506
Vitamin B6 metabolism,1.001001001
Sphingolipid metabolism,0.858369099
Arginine biosynthesis,0.64516129
Glutathione metabolism,0.643086817
Butanoate metabolism,0.598802395
Aminoacyl-tRNA biosynthesis,0.562851782
Pentose and glucuronate interconversions,0.5
Pantothenate and CoA biosynthesis,0.473933649
Arginine and proline metabolism,0.473933649
beta-Alanine metabolism,0.429184549
Pentose phosphate pathway,0.409836066
Primary bile acid biosynthesis,0.391389432
Lysine degradation,0.35971223
"Alanine, aspartate and glutamate metabolism",0.321543408
Steroid hormone biosynthesis,0.31779661
Porphyrin and chlorophyll metabolism,0.3003003
Glyoxylate and dicarboxylate metabolism,0.281690141
"Glycine, serine and threonine metabolism",0.273224044
Biosynthesis of unsaturated fatty acids,0.25
Fatty acid elongation,0.230946882
Fatty acid degradation,0.230946882
Tryptophan metabolism,0.21978022
Steroid biosynthesis,0.214592275
Tyrosine metabolism,0.214592275
Fatty acid biosynthesis,0.191570881
